20000 999387
130 12386 90
130 12409 43
130 13195 97
130 13230 30
130 15196 16
130 15277 38
130 15564 45
130 16210 62
130 16949 25
130 17170 81
130 17632 58
130 17989 13
130 18050 3
130 18084 61
130 18243 94
130 18599 22
130 18956 71
130 19653 62
130 19785 93
130 19891 14
131 562 8
131 1258 45
131 2741 2
131 2987 29
131 4504 68
131 4644 78
131 5124 45
131 5499 26
131 5773 80
131 5849 79
131 5924 46
131 7114 16
131 7231 73
131 7731 80
131 7816 100
131 8913 47
131 9340 57
131 9726 70
131 9965 66
131 10023 9
131 10830 45
131 10907 23
131 12972 40
131 13250 70
131 13427 76
131 14102 11
131 14500 85
131 14966 30
131 15208 30
131 15223 68
131 16178 23
131 17276 69
131 17287 76
131 17318 7
131 17367 76
131 17740 14
131 19336 84
132 296 12
132 619 72
132 1290 51
132 1334 56
132 1408 97
132 1824 23
132 2144 97
132 2923 37
132 2996 93
132 3420 36
132 3730 24
132 3767 24
132 4440 15
132 4590 30
132 4950 14
132 5712 36
132 6446 34
132 7411 62
132 7501 54
132 8172 75
132 9078 33
132 9086 1
132 9204 14
132 9428 77
132 10035 35
132 10141 14
132 10769 62
132 10815 74
132 11280 63
132 11457 76
132 11545 63
132 12012 38
132 12083 89
132 12567 47
132 12738 72
132 12840 29
132 13006 40
132 13585 88
132 14047 5
132 14292 36
132 14428 14
132 15793 7
132 15876 100
132 16170 94
132 16953 22
132 17294 55
132 18443 75
132 19029 38
132 19726 51
132 19954 45
133 867 99
133 1235 70
133 1515 6
133 1562 84
133 1581 80
133 2581 92
133 2713 61
133 2719 58
133 3779 14
133 3872 87
133 4845 24
133 5652 25
133 5674 88
133 5970 82
133 6147 7
133 6191 88
133 6269 91
133 6659 11
133 6826 81
133 7168 62
133 7250 82
133 7593 86
133 8150 62
133 8503 91
133 8532 75
133 8671 36
133 9095 100
133 9266 41
133 9432 58
133 10344 2
133 11544 52
133 11569 84
133 11731 25
133 11926 60
133 12491 65
133 12749 61
133 12755 61
133 13191 95
133 13368 18
133 14924 10
133 14997 93
133 15222 1
133 15246 83
133 15412 6
133 15425 89
133 15491 44
133 15631 59
133 15917 25
133 16449 24
133 16872 2
133 17135 61
133 17311 38
133 17322 60
133 17331 17
133 18252 33
133 18635 36
133 19528 12
133 19606 61
133 19667 94
133 19837 83
134 834 65
134 856 81
134 1010 1
134 1205 27
134 2410 13
134 2636 1
134 2737 42
134 3283 3
134 3407 6
134 4586 28
134 7100 76
134 7270 82
134 7515 6
134 8574 26
134 8979 81
134 9396 68
134 10070 60
134 10804 19
134 10857 97
134 11529 54
134 11565 87
134 11910 57
134 12180 30
134 12268 88
134 12296 52
134 13066 82
134 13224 31
134 13301 85
134 13698 36
134 13783 39
134 13972 9
134 14824 28
134 16576 35
134 16913 29
134 16997 49
134 17129 94
134 19481 82
134 19583 62
135 44 28
135 336 44
135 508 4
135 1018 53
135 1693 59
135 2109 11
135 2385 14
135 2978 98
135 3240 97
135 3372 0
135 3601 80
135 3635 14
135 3657 48
135 4017 6
135 4263 47
135 4521 95
135 4786 62
135 5089 96
135 5346 67
135 5476 81
135 5677 47
135 6408 54
135 7666 64
135 8959 50
135 9357 18
135 9454 91
135 10095 49
135 10141 72
135 10351 75
135 10548 44
135 10953 63
135 11725 15
135 12151 69
135 12296 28
135 12545 28
135 13034 61
135 13125 6
135 13225 24
135 13360 100
135 13387 74
135 14035 0
135 14647 58
135 14920 69
135 15136 42
135 15464 9
135 16066 15
135 16132 26
135 16183 13
135 16524 59
135 16576 38
135 16678 20
135 16755 78
135 16982 20
135 17196 19
135 17228 46
135 17360 44
135 17669 35
135 17876 68
135 18090 41
135 18278 75
135 18942 89
135 18945 51
135 19010 89
135 19024 16
135 19773 91
135 19819 48
136 2046 6
136 2179 40
136 2222 77
136 2227 64
136 2553 15
136 2713 49
136 2960 38
136 3164 23
136 3222 76
136 3305 0
136 4018 55
136 4456 49
136 4529 50
136 5420 33
136 5924 22
136 6261 14
136 6510 25
136 7604 80
136 8739 42
136 9320 64
136 9422 47
136 9972 68
136 10013 52
136 10028 91
136 10234 92
136 10332 38
136 10458 7
136 10527 82
136 10624 59
136 11074 66
136 11649 26
136 11655 76
136 11765 45
136 12367 0
136 12873 47
136 13129 5
136 13204 58
136 13218 50
136 13368 7
136 13429 12
136 13838 75
136 14564 87
136 15045 84
136 15863 95
136 16919 1
136 17328 96
136 17421 9
136 19237 2
136 19266 51
136 19595 97
136 19607 79
136 19798 70
136 19834 96
137 90 71
137 140 31
137 629 25
137 777 46
137 831 94
137 856 82
137 1645 13
137 1921 85
137 2745 4
137 3281 4
137 4291 89
137 4753 54
137 5142 25
137 5371 61
137 5623 64
137 6059 51
137 6164 19
137 6440 87
137 6850 12
137 7033 25
137 7205 80
137 7823 66
137 8470 75
137 8689 35
137 9395 59
137 9573 55
137 9795 30
137 9919 29
137 10019 3
137 10560 10
137 10648 35
137 11423 13
137 11643 87
137 11866 75
137 14579 89
137 14782 62
137 14906 21
137 16910 48
137 17709 38
137 17784 53
137 17906 10
137 17955 37
137 19481 79
137 19493 67
137 19560 2
137 19657 4
137 19766 62
137 19859 79
138 246 33
138 535 61
138 608 57
138 842 53
138 1311 83
138 1754 9
138 2141 85
138 2871 59
138 3642 15
138 3733 7
138 3839 55
138 4090 32
138 4487 97
138 5447 2
138 6498 70
138 7482 80
138 7863 25
138 8195 43
138 8226 95
138 8255 58
138 8494 96
138 8979 16
138 9331 66
138 9663 95
138 9757 37
138 9788 13
138 9815 21
138 9826 42
138 10672 77
138 11126 98
138 13277 100
138 13913 24
138 14119 94
138 14328 69
138 14368 50
138 14591 77
138 14694 41
138 14707 58
138 14956 18
138 15043 80
138 15261 99
138 16652 4
138 16712 97
138 16749 80
138 16954 25
138 17016 31
138 17515 9
138 17523 2
138 17962 58
138 18286 8
138 18896 85
138 19174 48
138 19196 28
138 19571 10
138 19602 6
139 394 58
139 421 97
139 699 29
139 1962 78
139 1971 91
139 2226 90
139 2575 76
139 3215 0
139 3713 50
139 5893 7
139 5941 31
139 6362 84
139 6400 30
139 6700 0
139 7552 42
139 8040 6
139 8098 43
139 9059 64
139 9372 83
139 9551 47
139 9624 18
139 9766 55
139 9820 93
139 10485 73
139 10786 61
139 10919 97
139 11333 27
139 11765 74
139 12177 35
139 12465 23
139 12844 11
139 13066 40
139 13412 13
139 13504 13
139 13996 67
139 14049 18
139 14658 44
139 14899 26
139 15086 42
139 15331 9
139 15521 94
139 16135 73
139 16162 11
139 16234 42
139 16829 0
139 16939 95
139 16966 76
139 17073 61
139 17659 75
139 17991 28
139 17998 84
139 18068 89
139 18103 30
139 18685 38
139 19052 55
139 19414 43
139 19677 4
139 19734 93
139 19954 97
139 19973 78
140 196 92
140 279 38
140 319 1
140 939 54
140 1995 54
140 2301 67
140 2312 14
140 2432 20
140 2511 25
140 2667 60
140 2674 17
140 3027 0
140 3128 85
140 3204 100
140 3393 96
140 3759 65
140 3775 49
140 3789 79
140 4922 75
140 5815 94
140 6274 66
140 6356 21
140 6521 54
140 6862 71
140 6955 92
140 7675 21
140 7817 36
140 8404 98
140 9526 93
140 9851 93
140 10317 10
140 11042 30
140 11449 34
140 11572 42
140 11687 35
140 12576 94
140 12584 28
140 12700 8
140 12721 16
140 12962 93
140 13038 65
140 13081 14
140 13362 26
140 14149 62
140 14186 65
140 14205 50
140 15052 61
140 16757 37
140 16898 60
140 17127 84
140 17282 18
140 17578 2
140 18031 69
140 18197 11
140 18244 37
140 18274 86
140 18733 13
140 19132 80
141 705 48
141 1233 4
141 2207 52
141 4074 73
141 5087 28
141 5177 76
141 5571 15
141 5613 5
141 6010 10
141 6996 15
141 7052 80
141 7133 81
141 7453 42
141 7599 23
141 7632 20
141 8257 38
141 8265 11
141 8443 96
141 8448 78
141 8882 55
141 9351 35
141 9817 93
141 10430 14
141 10511 10
141 10623 69
141 11132 79
141 11565 67
141 12714 29
141 12943 90
141 13737 53
141 14329 75
141 15346 41
141 15748 5
141 15853 8
141 16143 18
141 16283 3
141 16391 24
141 16653 47
141 16764 49
141 16783 2
141 16860 72
141 17238 68
141 17275 100
141 17695 62
141 18111 40
141 18138 36
141 18435 83
141 18610 3
141 19272 41
141 19581 53
141 19629 96
141 19701 75
141 19892 10
142 698 89
142 1655 26
142 2355 60
142 2982 73
142 3184 87
142 3774 12
142 4437 56
142 4790 86
142 5004 26
142 5528 78
142 5606 76
142 5768 14
142 6384 58
142 6548 76
142 6801 38
142 6830 22
142 7315 19
142 7348 42
142 8576 81
142 8587 83
142 8884 86
142 8912 86
142 9069 16
142 9176 1
142 9208 54
142 10292 82
142 10451 18
142 10841 99
142 11515 41
142 11869 26
142 12171 29
142 12197 43
142 12285 17
142 12441 42
142 12609 94
142 12638 25
142 13056 25
142 13433 38
142 13799 28
142 14112 56
142 14901 69
142 14972 78
142 15592 77
142 16013 87
142 16300 50
142 16962 18
142 17405 61
142 17505 98
142 17685 49
142 18285 96
142 19152 14
142 19155 45
142 19569 4
142 19679 28
142 19703 65
143 470 73
143 586 32
143 1712 69
143 2238 26
143 2634 69
143 3684 29
143 3713 57
143 4232 84
143 4654 30
143 5039 24
143 6502 13
143 6531 7
143 6716 69
143 7069 8
143 7773 47
143 7827 47
143 8119 89
143 8415 80
143 8794 82
143 9553 63
143 10206 60
143 10352 43
143 10507 89
143 10654 77
143 10679 18
143 10848 100
143 11478 61
143 11704 22
143 12008 20
143 13307 67
143 14287 8
143 14431 44
143 15639 69
143 15660 19
143 16724 61
143 16731 50
143 17636 9
143 17866 89
143 18369 42
143 18375 34
143 19442 86
143 19573 49
143 19905 23
144 292 8
144 1110 85
144 2709 63
144 3227 49
144 3266 51
144 3791 41
144 3902 94
144 3967 13
144 4041 51
144 5239 56
144 5805 34
144 6034 89
144 6493 75
144 6513 24
144 6582 7
144 7220 23
144 8188 51
144 8517 36
144 9480 95
144 9847 87
144 10086 92
144 10330 62
144 10505 23
144 11982 45
144 12280 13
144 12899 25
144 13008 87
144 13105 86
144 13188 79
144 13420 28
144 14275 48
144 14313 86
144 14419 37
144 14468 92
144 15811 35
144 16124 29
144 16168 43
144 16284 1
144 16419 66
144 16453 31
144 16620 23
144 16861 75
144 16994 94
144 18524 74
144 19454 7
144 19672 68
145 959 65
145 1110 81
145 1395 56
145 1419 7
145 1511 47
145 2109 48
145 2670 15
145 2984 55
145 3096 72
145 3385 17
145 3475 49
145 3873 82
145 4117 61
145 4700 38
145 4968 64
145 5540 37
145 5611 94
145 5887 84
145 6118 13
145 6401 46
145 7267 46
145 7357 50
145 7591 9
145 7852 29
145 8040 91
145 8235 45
145 9479 32
145 10078 57
145 10987 22
145 11145 26
145 11222 24
145 11283 95
145 11838 73
145 12619 85
145 13529 99
145 13703 47
145 13933 16
145 14780 45
145 14785 4
145 16492 37
145 16781 87
145 17342 84
145 17748 86
145 19187 25
146 439 9
146 592 95
146 662 81
146 946 42
146 1113 100
146 1118 54
146 1226 34
146 1370 31
146 1723 18
146 1985 36
146 2104 69
146 3404 56
146 3738 79
146 4285 42
146 4848 87
146 5210 48
146 5456 100
146 5606 90
146 5680 62
146 6148 90
146 6319 9
146 6508 33
146 6956 21
146 7669 5
146 7710 46
146 7988 100
146 8086 57
146 8130 43
146 8398 58
146 8826 9
146 9563 31
146 9659 74
146 10239 16
146 10281 98
146 10850 28
146 11127 70
146 11490 41
146 11502 11
146 12164 20
146 12729 35
146 12801 96
146 13565 71
146 13606 86
146 14275 32
146 14550 78
146 14722 100
146 14983 65
146 15157 16
146 16200 94
146 16472 96
146 16509 38
146 17017 49
146 17247 10
146 17799 25
146 17903 73
146 18500 80
146 18689 43
146 19514 72
147 61 18
147 244 49
147 942 19
147 1382 66
147 1990 48
147 2532 37
147 2824 20
147 3002 78
147 3086 9
147 3270 98
147 3599 78
147 3956 97
147 4407 40
147 4810 66
147 4850 13
147 5016 95
147 5090 7
147 5985 80
147 6155 15
147 6398 12
147 6427 83
147 6673 94
147 7721 89
147 7918 11
147 7932 5
147 9038 98
147 9183 8
147 9270 89
147 9570 71
147 10506 7
147 10510 50
147 10787 80
147 11304 50
147 11459 43
147 12088 4
147 12482 90
147 13934 7
147 14443 49
147 14537 21
147 14665 14
147 14669 84
147 15165 52
147 15818 21
147 15859 74
147 16003 15
147 16268 17
147 16303 37
147 16488 28
147 17004 4
147 18017 66
147 18073 11
147 19517 60
147 19744 47
147 19959 72
148 402 48
148 426 2
148 1426 10
148 2016 18
148 2196 48
148 2229 49
148 2399 26
148 2425 3
148 3169 65
148 3224 28
148 3432 48
148 3549 10
148 4080 90
148 4182 66
148 4300 52
148 4930 0
148 5043 55
148 5216 49
148 5604 42
148 6079 77
148 6291 58
148 6589 89
148 6947 86
148 7143 40
148 7615 11
148 8488 44
148 9029 46
148 9332 85
148 9336 68
148 9376 34
148 9907 27
148 10324 13
148 10819 56
148 11386 78
148 11471 13
148 11823 24
148 12631 37
148 13067 2
148 13582 92
148 14154 38
148 14410 12
148 14491 82
148 14568 12
148 14592 74
148 14748 33
148 14773 1
148 14977 98
148 15232 52
148 16224 6
148 16621 85
148 17066 51
148 17137 29
148 18170 40
148 18437 95
148 18506 96
148 18704 0
148 18903 97
148 18932 50
148 19031 57
148 19736 33
148 19877 10
148 19927 24
149 111 1
149 131 30
149 414 7
149 487 34
149 799 10
149 1165 2
149 1348 81
149 1888 16
149 2328 3
149 2401 52
149 2598 69
149 2718 71
149 4035 67
149 4893 55
149 5103 10
149 5199 99
149 5344 92
149 5950 65
149 6189 56
149 6625 0
149 6999 81
149 7154 33
149 7687 84
149 7696 68
149 8288 17
149 9141 31
149 9175 9
149 9600 94
149 9898 27
149 11369 13
149 12285 17
149 12805 2
149 12888 86
149 12908 54
149 12954 19
149 13340 55
149 13345 89
149 14390 21
149 14903 75
149 15110 74
149 15384 94
149 15498 48
149 16648 69
149 18327 91
149 18332 43
149 18653 62
149 18676 54
149 19416 19
149 19469 23
149 19753 14
150 2269 51
150 2380 100
150 2730 0
150 2744 94
150 2756 79
150 3127 68
150 3618 33
150 3737 8
150 3769 89
150 4209 33
150 4427 36
150 4495 32
150 4754 28
150 5908 14
150 5927 52
150 6007 38
150 6230 63
150 6563 58
150 7293 67
150 7372 7
150 7375 71
150 7456 88
150 7548 77
150 7600 10
150 10234 69
150 10690 2
150 10837 10
150 11213 84
150 11411 89
150 11514 84
150 12120 96
150 12462 64
150 12569 81
150 14798 11
150 15274 39
150 15275 65
150 15311 13
150 15340 3
150 15440 12
150 16547 86
150 16951 77
150 16971 67
150 17980 39
150 18485 26
150 18687 53
150 18855 15
150 19097 0
150 19694 82
150 19964 59
151 263 35
151 424 63
151 949 77
151 1500 85
151 1680 9
151 2093 80
151 2189 78
151 2285 48
151 2467 69
151 2484 38
151 3271 42
151 3496 100
151 3594 74
151 3835 59
151 4183 16
151 4445 35
151 4573 60
151 4913 35
151 4972 55
151 5438 91
151 5544 43
151 5711 4
151 5748 25
151 6054 57
151 6100 6
151 7011 76
151 7702 89
151 8100 74
151 8345 72
151 8441 99
151 8494 68
151 9368 19
151 9609 74
151 10007 42
151 10318 35
151 10830 26
151 11337 10
151 11341 28
151 11352 28
151 11948 30
151 11968 85
151 13239 42
151 13497 69
151 13617 6
151 14263 85
151 14714 15
151 14736 96
151 14859 64
151 15954 87
151 16326 88
151 16352 22
151 16548 75
151 16797 35
151 16961 88
151 17809 -1
151 17895 83
151 18052 22
151 18322 40
151 18739 93
152 158 2
152 278 42
152 712 59
152 739 7
152 777 63
152 1203 21
152 1457 14
152 1665 59
152 1836 8
152 3012 22
152 3387 31
152 3760 100
152 3913 27
152 4132 96
152 5219 94
152 5229 35
152 5322 45
152 5422 70
152 5513 32
152 5954 70
152 6085 69
152 8352 0
152 8588 92
152 8743 91
152 8846 10
152 9072 29
152 10144 45
152 10398 88
152 11188 31
152 11244 89
152 11429 90
152 11751 66
152 12007 86
152 12485 31
152 13012 53
152 13418 65
152 13456 46
152 13546 76
152 13936 40
152 14107 28
152 14436 23
152 14542 28
152 14746 25
152 14842 32
152 15353 17
152 16657 27
152 16730 90
152 16833 98
152 16890 50
152 17103 99
152 17147 61
152 17387 53
152 17461 94
152 17552 28
152 17580 64
152 17938 96
152 18031 72
152 18072 26
152 18132 8
152 18502 17
152 18549 19
152 19551 99
152 19674 34
153 1726 15
153 1842 99
153 2135 94
153 2147 62
153 2413 73
153 2498 34
153 3078 24
153 3493 29
153 3930 72
153 4388 55
153 4787 68
153 5543 95
153 5854 94
153 6300 14
153 7108 50
153 8143 83
153 8591 81
153 9183 39
153 10219 1
153 10344 28
153 10536 6
153 10827 88
153 10877 86
153 11071 51
153 11313 49
153 11520 76
153 11600 53
153 11835 41
153 12028 88
153 12343 17
153 12533 66
153 12566 96
153 12875 25
153 12904 57
153 13147 23
153 13219 0
153 13900 54
153 14181 13
153 14550 80
153 14670 85
153 15962 19
153 16121 43
153 16303 89
153 16731 42
153 17053 6
153 18452 86
153 18590 20
153 19592 98
154 480 49
154 492 84
154 973 68
154 1340 7
154 2293 18
154 2975 2
154 4156 66
154 4421 95
154 5942 48
154 6456 60
154 6963 71
154 7009 43
154 7364 55
154 7367 0
154 7800 72
154 8221 31
154 8806 8
154 10593 2
154 10688 72
154 10846 77
154 10960 44
154 11057 99
154 11141 47
154 11265 1
154 11359 99
154 12342 11
154 12694 2
154 13278 87
154 13550 17
154 13693 43
154 14697 33
154 15399 25
154 15452 14
154 15545 34
154 15932 43
154 16110 52
154 16317 98
154 16325 97
154 16464 77
154 16496 62
154 16944 9
154 17099 80
154 17315 50
154 17471 63
154 17871 87
154 18103 78
154 18550 47
154 18746 77
154 19782 91
155 1170 15
155 1880 85
155 2758 94
155 3720 16
155 3726 57
155 3996 40
155 4943 82
155 5115 61
155 5857 40
155 6823 38
155 7386 98
155 7673 10
155 7941 96
155 8994 70
155 10127 16
155 10234 47
155 11005 20
155 11212 32
155 11453 22
155 11929 15
155 12563 60
155 12683 20
155 12894 99
155 13571 53
155 13669 54
155 13970 27
155 14246 14
155 14620 47
155 14764 6
155 16891 63
155 17890 17
155 17947 89
155 18699 87
155 18845 15
155 19633 82
156 365 28
156 502 40
156 1620 1
156 2652 6
156 2671 45
156 2725 32
156 5064 73
156 5532 27
156 5634 6
156 5885 45
156 5963 29
156 6312 65
156 7602 75
156 8128 64
156 8293 70
156 8675 82
156 8942 50
156 10112 8
156 10240 35
156 10331 6
156 10817 90
156 10822 71
156 10950 67
156 11222 2
156 11576 21
156 11835 63
156 11993 92
156 12385 63
156 12664 24
156 12750 70
156 12811 57
156 13062 38
156 13461 90
156 13820 30
156 13964 79
156 15238 55
156 15662 97
156 16015 99
156 16592 89
156 16821 40
156 18386 98
156 19244 97
156 19294 64
156 19463 57
156 19768 45
156 19989 21
157 985 95
157 1690 24
157 2193 80
157 2539 74
157 2553 22
157 2672 88
157 2721 9
157 3213 71
157 3653 16
157 3951 42
157 4525 25
157 4945 94
157 5603 37
157 6034 91
157 6714 74
157 7546 44
157 8917 47
157 9584 66
157 10028 86
157 11023 67
157 11770 80
157 12105 6
157 12147 62
157 12241 32
157 12498 51
157 13165 77
157 13269 16
157 13290 39
157 14035 61
157 14166 92
157 14562 37
157 14951 94
157 15741 20
157 15909 85
157 16144 75
157 16294 63
157 16853 62
157 17316 31
157 17413 59
157 17651 56
157 18021 8
158 255 53
158 728 56
158 1477 93
158 2317 39
158 2369 4
158 2375 92
158 2521 92
158 2943 18
158 3252 51
158 3369 58
158 3604 2
158 3629 16
158 4106 98
158 5080 64
158 5399 39
158 5490 81
158 5841 77
158 6111 26
158 6338 37
158 6439 78
158 6739 63
158 6837 13
158 7108 54
158 7369 100
158 7789 21
158 7863 60
158 7909 65
158 8199 47
158 8327 74
158 8603 7
158 8664 19
158 9249 95
158 9589 18
158 9981 16
158 10059 93
158 10540 95
158 10969 38
158 11168 2
158 11245 31
158 11604 14
158 11775 90
158 12254 9
158 12531 60
158 12687 63
158 12936 51
158 13180 90
158 13346 98
158 14422 32
158 16628 69
158 17022 72
158 17306 8
158 18465 30
158 19091 77
158 19313 29
158 19537 74
158 19605 76
159 274 49
159 697 75
159 1093 15
159 2405 70
159 3124 47
159 3393 54
159 3483 98
159 3904 80
159 5415 78
159 5448 2
159 5816 91
159 5940 50
159 5990 60
159 6089 9
159 6212 8
159 6477 13
159 6867 22
159 6928 69
159 7104 97
159 7817 32
159 7907 69
159 8858 94
159 8949 21
159 8997 38
159 9010 21
159 9855 39
159 10113 31
159 10521 74
159 10552 8
159 10680 1
159 10842 56
159 11498 91
159 11893 30
159 12187 43
159 12320 11
159 12590 32
159 13577 91
159 13918 37
159 14205 28
159 14238 40
159 14736 20
159 15197 21
159 15256 93
159 15584 17
159 15617 25
159 15764 94
159 15889 6
159 16447 59
159 16477 82
159 17359 16
159 17742 83
159 18195 78
159 18398 27
159 19615 63
159 19809 15
160 198 0
160 2035 29
160 2105 22
160 2316 32
160 2341 10
160 2373 60
160 2428 76
160 2521 70
160 3010 97
160 3101 15
160 3259 19
160 4135 40
160 4356 8
160 4417 82
160 4538 93
160 4699 59
160 5274 71
160 5359 0
160 5546 84
160 5937 12
160 6450 66
160 7001 100
160 7711 20
160 7816 7
160 8204 16
160 8990 89
160 9937 35
160 10385 69
160 10423 11
160 10543 81
160 11037 6
160 11507 97
160 11648 24
160 11691 88
160 11780 26
160 12859 14
160 13415 59
160 13478 12
160 13658 12
160 13724 59
160 13740 93
160 14070 95
160 14337 37
160 15064 14
160 15185 94
160 15559 100
160 15681 90
160 15903 24
160 16061 81
160 16093 8
160 16140 6
160 16743 1
160 16921 58
160 16943 44
160 17215 83
160 17580 48
160 19214 45
160 19502 8
161 54 18
161 498 48
161 571 81
161 719 96
161 1597 82
161 1679 18
161 1857 42
161 2892 38
161 2981 85
161 3738 63
161 3817 -1
161 4765 84
161 5529 20
161 5553 38
161 6301 46
161 6477 100
161 7573 27
161 8661 99
161 8677 57
161 8681 90
161 9022 63
161 9349 6
161 9376 27
161 9435 99
161 9784 84
161 9990 44
161 10408 41
161 10656 95
161 10662 48
161 10683 23
161 11673 45
161 11762 37
161 13004 23
161 13907 7
161 14035 38
161 14269 81
161 14481 81
161 14623 31
161 14772 41
161 15666 73
161 16959 9
161 17222 51
161 17261 80
161 17465 34
161 17638 44
161 18328 1
161 18381 76
161 18384 41
161 18595 72
161 19164 81
161 19369 30
161 19603 44
161 19734 85
161 19807 45
161 19926 16
162 351 35
162 418 94
162 673 68
162 850 38
162 1240 49
162 1562 11
162 2159 80
162 2388 51
162 2425 13
162 3118 68
162 3210 53
162 4289 1
162 4816 94
162 5630 37
162 6128 61
162 6141 73
162 6381 24
162 6398 23
162 6760 36
162 6833 93
162 6870 37
162 7531 35
162 10482 37
162 10605 62
162 11047 54
162 11296 67
162 11743 49
162 12916 14
162 13413 82
162 13538 11
162 13582 15
162 13835 59
162 14163 81
162 14191 60
162 14511 13
162 14800 14
162 15054 33
162 15209 89
162 15596 100
162 15837 7
162 16159 12
162 16404 31
162 16461 65
162 16594 67
162 16661 3
162 16874 79
162 16984 99
162 17363 30
162 17398 15
162 17481 12
162 17640 31
162 17853 6
162 18697 66
162 18764 10
162 19201 1
162 19275 40
162 19999 35
163 563 18
163 957 89
163 972 0
163 1515 24
163 4609 76
163 4695 40
163 4849 48
163 5325 63
163 5405 16
163 5433 92
163 5522 14
163 5630 24
163 5753 5
163 5768 76
163 5773 85
163 5936 36
163 6790 58
163 6982 58
163 7474 29
163 8295 39
163 8809 59
163 8971 17
163 9219 10
163 9404 1
163 10029 1
163 10256 92
163 10803 91
163 11076 77
163 12302 73
163 12477 22
163 13665 74
163 13951 3
163 14229 33
163 14434 67
163 15455 66
163 15491 94
163 15582 67
163 15702 13
163 15904 15
163 15947 17
163 17305 17
163 17605 2
163 18336 51
163 18782 65
163 18969 16
163 19139 16
163 19548 15
163 19569 11
164 349 77
164 1118 44
164 1415 92
164 2037 46
164 2143 55
164 2462 41
164 2484 95
164 2584 91
164 3166 38
164 3503 62
164 3815 91
164 4551 10
164 4603 44
164 4645 47
164 5964 63
164 6198 99
164 6480 19
164 6484 35
164 6557 16
164 7663 55
164 7811 86
164 7907 11
164 9443 67
164 9640 96
164 9857 19
164 10026 70
164 10484 78
164 12499 51
164 12665 52
164 13023 99
164 13151 16
164 13482 22
164 13742 98
164 13764 72
164 14500 95
164 14715 38
164 15307 10
164 15509 70
164 15581 94
164 15982 92
164 16030 5
164 16033 43
164 16414 20
164 16795 91
164 17151 57
164 17452 69
164 17719 54
164 17741 75
164 18018 55
164 18378 38
164 19374 27
164 19391 96
164 19887 54
165 761 21
165 1219 1
165 1287 72
165 1428 82
165 2321 12
165 2461 0
165 2978 34
165 3169 0
165 4314 16
165 5240 2
165 5825 74
165 6065 24
165 6092 20
165 6724 77
165 6768 65
165 7104 94
165 7933 50
165 8030 58
165 8575 18
165 9775 71
165 10623 28
165 10667 93
165 10860 100
165 11061 100
165 12796 93
165 12840 95
165 14276 34
165 14385 34
165 14423 91
165 15052 69
165 15311 48
165 15644 56
165 15657 12
165 15709 6
165 16352 97
165 17183 12
165 17266 16
165 17423 6
165 17471 90
165 17771 28
165 18200 69
165 18400 19
165 18853 64
165 19351 2
165 19739 71
165 19854 20
165 19945 27
166 780 17
166 915 39
166 1095 67
166 1122 5
166 1529 9
166 1953 63
166 2449 76
166 2883 59
166 4230 12
166 4475 37
166 5794 74
166 5815 79
166 6359 22
166 6414 12
166 6745 96
166 7359 40
166 7612 79
166 8267 13
166 8902 15
166 9059 3
166 9346 8
166 9379 61
166 9560 79
166 9815 55
166 9858 52
166 9913 5
166 10104 39
166 10373 18
166 10942 13
166 11094 76
166 11768 46
166 12568 68
166 12964 64
166 13324 73
166 13405 45
166 14826 82
166 15113 65
166 15985 99
166 16011 77
166 16729 67
166 17327 68
166 17790 59
166 17887 48
166 18086 40
166 18121 13
166 18293 87
166 18688 63
166 19039 93
166 19580 71
166 19604 61
167 57 71
167 285 11
167 537 45
167 976 69
167 1180 54
167 1325 85
167 1885 27
167 2940 10
167 3483 100
167 3502 82
167 4054 50
167 4163 19
167 4400 35
167 4494 61
167 4864 43
167 5824 66
167 6278 100
167 7106 82
167 7459 56
167 7482 78
167 8321 66
167 8363 31
167 8415 83
167 8567 10
167 8857 71
167 9156 73
167 9497 88
167 9566 37
167 10065 87
167 10323 10
167 10442 85
167 11235 67
167 11894 19
167 11914 43
167 12448 19
167 12831 75
167 12928 69
167 13055 81
167 13181 16
167 13555 83
167 13803 23
167 14025 97
167 14669 20
167 15576 76
167 15891 91
167 16491 4
167 16604 85
167 16701 45
167 16812 99
167 16970 91
167 18264 45
167 18266 2
167 18309 40
167 18965 55
167 19001 52
167 19654 34
168 569 86
168 876 18
168 1459 73
168 1519 24
168 1554 95
168 2698 94
168 2828 48
168 3124 6
168 3520 100
168 3784 41
168 4054 82
168 4638 69
168 4788 8
168 5133 22
168 5449 54
168 6057 79
168 6096 91
168 7206 22
168 8170 84
168 8812 4
168 8890 35
168 8988 25
168 9526 71
168 9708 41
168 10498 22
168 10952 10
168 11240 52
168 11311 71
168 11621 61
168 11631 26
168 11633 54
168 11885 67
168 12639 76
168 12703 18
168 12853 70
168 13689 67
168 14066 18
168 14128 43
168 14422 59
168 14452 46
168 14544 60
168 14590 41
168 14640 40
168 15581 69
168 15816 99
168 16004 30
168 16521 62
168 16857 20
168 16938 75
168 17356 38
168 17950 9
168 18198 3
168 18260 27
168 19462 94
168 19670 16
169 319 97
169 1090 53
169 2533 32
169 2886 18
169 3496 29
169 4387 23
169 4594 71
169 5183 3
169 5240 88
169 5324 40
169 5847 10
169 5894 31
169 6140 66
169 6222 49
169 6557 88
169 6563 18
169 6835 42
169 6948 95
169 6981 63
169 7177 57
169 7583 53
